Attendance,Current_GPA,Previous_GPA,GPA_Diff,NonProductive_Hrs,SemiProductive_Hrs,Productive_Hrs,Club_Score,Internship_Status,Family_Income,Sentiment_Score,Dropout_Prob
58,4.24,4.729975035210882,-0.49,1.1,1.5,1.6,2,1,5-10 LPA,0.03,1.0
41,9.2,8.386653497138802,0.81,2.5,0.6,1.2,4,1,5-10 LPA,-0.06,0.75
92,7.47,7.274735621060639,0.2,1.2,5.4,0.0,1,0,<1 LPA,0.48,0.9
83,6.63,6.598554169897895,0.03,2.6,0.3,0.6,5,1,<1 LPA,0.67,0.55
65,8.35,8.242402572478614,0.11,0.5,0.6,0.2,1,1,>10 LPA,0.5,0.5
71,6.92,7.187087973254828,-0.27,3.4,0.7,2.4,2,0,1-5 LPA,-0.71,1.0
45,9.24,10.0,-0.76,1.8,0.0,0.2,1,0,>10 LPA,0.24,0.85
71,9.4,10.0,-0.6,0.5,2.7,0.3,5,1,<1 LPA,-0.84,0.75
94,6.53,5.480224645254875,1.05,0.5,0.0,0.7,4,0,1-5 LPA,0.39,0.6
43,5.66,6.157655992244839,-0.5,2.0,4.2,0.3,3,1,1-5 LPA,-0.24,1.0
94,7.55,8.613146655628327,-1.06,3.5,3.3,0.2,4,1,>10 LPA,-0.74,0.95
50,9.47,9.779446816551363,-0.31,1.1,1.2,0.9,1,1,<1 LPA,0.72,0.8
95,5.26,6.132784340148773,-0.87,0.6,1.2,0.1,5,1,1-5 LPA,0.23,0.65
98,7.74,9.349816356560613,-1.61,4.0,1.6,0.1,3,1,1-5 LPA,-0.29,0.8
56,7.79,8.608967636885586,-0.82,2.2,0.7,0.5,5,1,>10 LPA,-0.94,0.95
77,8.4,8.599446876513383,-0.2,1.2,1.6,1.3,4,1,>10 LPA,0.07,0.55
63,4.79,5.626070779267803,-0.84,1.3,0.1,0.8,0,1,>10 LPA,0.85,1.0
44,8.29,8.405910266477512,-0.12,0.5,0.1,0.5,0,1,>10 LPA,0.19,0.8
91,9.45,9.469122434627964,-0.02,2.0,0.9,0.8,3,1,<1 LPA,0.94,0.55
73,5.08,4.798868611429014,0.28,0.9,1.2,0.5,3,0,<1 LPA,-0.73,1.0
45,5.43,6.680730687065687,-1.25,8.0,3.3,2.8,3,1,<1 LPA,0.14,1.0
61,9.83,9.175257067246399,0.65,1.3,0.2,0.1,0,1,1-5 LPA,0.6,0.7
50,5.09,6.315894179742493,-1.23,1.3,2.6,1.1,4,0,5-10 LPA,0.05,1.0
87,9.13,9.529891298992299,-0.4,1.7,0.4,2.2,3,0,>10 LPA,-0.82,0.7
55,6.95,5.830555060158447,1.12,5.0,0.8,1.6,0,0,<1 LPA,0.17,1.0
72,5.48,5.774119434393137,-0.29,3.2,0.6,0.2,3,1,5-10 LPA,0.22,0.85
48,9.22,7.539978793878701,1.68,1.2,0.8,0.4,3,1,>10 LPA,0.46,0.65
99,6.67,7.170406413464828,-0.5,2.5,0.2,1.3,5,0,1-5 LPA,0.52,0.8
98,7.09,7.798185186391192,-0.71,1.8,1.1,0.1,3,1,<1 LPA,0.54,0.65
45,6.16,5.686115235478358,0.47,1.4,2.4,1.7,0,1,1-5 LPA,0.33,0.9
55,7.56,7.658838156764466,-0.1,0.4,0.9,1.3,4,0,1-5 LPA,-0.57,1.0
68,4.98,6.54332594700023,-1.56,1.2,1.0,1.3,0,1,1-5 LPA,-0.19,1.0
42,6.35,5.94540263659045,0.4,0.6,2.8,0.1,0,1,1-5 LPA,0.55,0.8
59,9.82,8.97287393035472,0.85,4.9,1.8,1.3,3,1,<1 LPA,0.91,0.75
99,5.55,6.735330721970079,-1.19,0.8,1.0,1.1,5,0,>10 LPA,-0.84,1.0
98,7.94,9.510069752424636,-1.57,6.1,0.4,1.8,2,0,1-5 LPA,0.07,1.0
75,5.95,5.952956537478278,-0.0,1.5,3.2,0.0,2,0,1-5 LPA,-0.37,1.0
58,8.64,9.449170428326685,-0.81,2.0,1.3,0.0,2,1,>10 LPA,-0.55,1.0
65,4.79,5.863180732424705,-1.07,1.6,0.4,0.5,0,1,<1 LPA,0.01,1.0
42,9.82,9.226012613969292,0.59,0.3,0.5,0.2,3,1,<1 LPA,0.21,0.55
58,6.72,6.331755331705705,0.39,0.9,2.4,0.8,2,1,5-10 LPA,-0.98,0.9
59,5.42,6.404699610523788,-0.98,0.2,0.1,2.5,1,0,1-5 LPA,0.56,0.95
71,4.44,5.788011422966808,-1.35,2.0,6.0,0.5,1,1,5-10 LPA,0.64,1.0
46,5.02,5.470304688139484,-0.45,1.2,0.2,1.9,1,1,1-5 LPA,0.93,1.0
91,7.12,6.416148517198357,0.7,3.0,2.4,0.0,4,1,<1 LPA,-0.64,0.75
80,6.02,7.609648889359553,-1.59,0.5,0.8,0.2,3,1,1-5 LPA,0.19,0.7
72,8.97,8.54522328175043,0.42,0.4,1.0,0.0,0,1,<1 LPA,-0.15,0.7
79,6.59,6.3218897750628384,0.27,1.0,3.2,0.4,0,0,5-10 LPA,-0.33,0.9
78,5.49,5.763870267591697,-0.27,5.2,0.8,2.4,3,0,5-10 LPA,0.13,0.8
57,7.7,8.94332833657182,-1.24,2.5,1.2,0.1,5,0,>10 LPA,0.56,0.95
79,8.24,8.92318078124178,-0.68,1.1,0.1,0.9,5,0,5-10 LPA,-0.95,0.8
40,5.0,5.3318924002895285,-0.33,1.5,0.0,0.6,4,1,<1 LPA,0.94,0.95
50,5.01,5.380630824094485,-0.37,0.2,0.4,2.8,3,0,5-10 LPA,0.62,0.8
67,4.22,4.254811734914773,-0.03,8.0,1.7,0.1,5,0,5-10 LPA,0.5,1.0
96,8.42,8.866511611614804,-0.45,2.2,0.2,0.2,4,1,5-10 LPA,0.52,0.55
64,7.98,5.956351937844557,2.02,0.7,0.2,0.0,2,1,5-10 LPA,-0.22,0.6
89,6.85,6.612714032744161,0.24,1.8,0.8,0.6,2,1,1-5 LPA,0.5,0.6
62,9.07,9.263057547933425,-0.19,0.2,1.6,0.3,4,1,1-5 LPA,-0.23,0.65
70,8.83,7.909188733104394,0.92,6.8,1.9,2.0,3,1,5-10 LPA,0.8,0.65
69,7.51,7.819058654249248,-0.31,0.4,0.3,0.9,2,1,1-5 LPA,-0.65,0.8
81,9.21,9.046423023211103,0.16,2.1,0.1,1.0,3,0,<1 LPA,-0.42,0.9
74,5.24,6.644380558652392,-1.4,0.6,4.2,0.8,5,1,5-10 LPA,0.1,0.95
46,4.67,5.9284157801718855,-1.26,2.5,0.5,0.1,2,1,1-5 LPA,-0.36,1.0
99,5.62,5.24735554470547,0.37,3.0,2.9,0.6,5,1,<1 LPA,-0.15,0.75
55,4.34,4.219329830746644,0.12,2.2,3.0,6.0,3,0,<1 LPA,-0.02,1.0
65,7.19,7.130841947513287,0.06,1.9,2.2,1.8,3,1,5-10 LPA,0.71,0.65
87,9.62,9.258672419072301,0.36,4.5,0.3,2.2,1,0,1-5 LPA,0.05,0.65
96,4.24,4.396019987222502,-0.16,0.2,2.6,1.7,4,1,5-10 LPA,-0.28,0.75
91,4.73,4.123374344889928,0.61,0.8,2.2,0.1,0,1,1-5 LPA,-0.5,0.9
99,6.71,5.805507732049978,0.9,0.6,1.4,0.3,4,1,1-5 LPA,-0.18,0.55
88,9.6,10.0,-0.4,8.0,0.6,0.0,3,1,1-5 LPA,0.03,0.65
41,5.9,6.403623667377449,-0.5,1.0,0.5,0.4,3,1,5-10 LPA,0.49,0.85
40,7.04,6.396547392272006,0.64,2.6,0.2,0.1,4,1,1-5 LPA,-0.76,0.95
87,4.25,4.96628434461008,-0.72,2.3,1.1,0.6,3,1,>10 LPA,-0.56,0.95
51,4.89,4.384737816667735,0.51,0.5,1.3,1.1,5,1,>10 LPA,-0.24,0.85
44,9.92,10.0,-0.08,0.5,0.7,2.1,2,0,5-10 LPA,-0.28,0.75
76,9.79,10.0,-0.21,0.7,1.0,1.4,3,1,>10 LPA,-0.22,0.55
71,4.03,4.00310994823703,0.03,1.1,0.7,2.8,4,0,1-5 LPA,0.59,0.8
98,9.71,10.0,-0.29,0.5,1.5,0.1,4,1,1-5 LPA,-0.35,0.65
94,7.83,7.416856284889943,0.41,0.0,3.5,0.0,4,1,5-10 LPA,0.0,0.4
48,9.21,9.052826733257524,0.16,4.2,0.3,1.1,1,1,5-10 LPA,0.25,0.8
80,6.73,6.565312455295728,0.16,6.7,0.7,0.3,5,1,>10 LPA,-0.54,0.85
74,7.09,6.492737322767809,0.6,0.8,0.2,0.3,5,0,5-10 LPA,0.44,0.6
58,6.93,6.788580669507374,0.14,0.8,1.5,0.4,1,0,>10 LPA,0.09,0.75
87,8.0,6.761105360909003,1.24,0.0,2.0,0.3,5,1,1-5 LPA,-0.11,0.45
55,4.84,4.447077002286316,0.39,2.3,4.0,0.7,1,0,5-10 LPA,0.62,1.0
42,4.18,4.0,0.18,3.5,0.5,0.6,5,1,5-10 LPA,-0.51,1.0
59,5.85,5.6450561980036955,0.2,0.3,4.5,0.7,1,0,5-10 LPA,0.77,0.9
63,8.23,8.036802043303377,0.19,0.3,0.1,1.1,1,1,1-5 LPA,0.12,0.5
93,5.21,5.1605886401118966,0.05,3.1,1.4,0.5,5,0,5-10 LPA,0.22,0.7
95,8.04,8.42355321446885,-0.38,1.9,0.1,0.3,1,1,>10 LPA,0.75,0.6
72,9.82,10.0,-0.18,0.1,3.4,0.2,5,1,1-5 LPA,0.64,0.6
63,4.56,4.040187818521386,0.52,1.9,1.1,0.4,1,1,5-10 LPA,0.2,0.8
91,8.04,7.077439315688683,0.96,0.7,1.7,1.4,4,0,1-5 LPA,0.51,0.5
50,6.66,5.826364470205518,0.83,0.9,2.7,1.4,0,1,>10 LPA,-0.13,0.9
88,9.21,8.82023766304406,0.39,2.9,0.2,1.1,5,0,1-5 LPA,0.09,0.6
47,5.06,4.778462945746792,0.28,3.3,0.1,0.3,1,1,1-5 LPA,-0.88,1.0
75,8.16,7.544003147042035,0.62,1.0,3.2,0.9,4,1,1-5 LPA,-0.82,0.6
77,9.03,7.993106668600084,1.04,5.9,0.6,0.8,0,1,5-10 LPA,0.66,0.7
79,9.67,9.305103338020649,0.36,1.0,0.2,0.7,1,1,<1 LPA,-0.88,0.6
59,8.1,8.245141296091177,-0.15,3.0,0.9,0.8,0,1,5-10 LPA,-0.66,1.0
74,6.98,7.456023572668452,-0.48,1.3,1.4,0.7,5,1,>10 LPA,0.59,0.75
87,7.71,7.264061557513343,0.45,4.6,0.0,0.8,0,1,>10 LPA,-1.0,0.9
64,9.21,8.879601742285253,0.33,4.8,0.5,1.3,2,1,<1 LPA,-0.44,0.9
74,7.42,6.678641352922151,0.74,0.2,0.1,0.1,3,1,>10 LPA,0.17,0.55
64,4.18,4.154848663700179,0.03,5.5,0.8,1.4,2,1,5-10 LPA,0.19,0.9
68,9.59,8.911257092647348,0.68,3.5,3.4,0.1,5,0,<1 LPA,0.55,0.85
57,8.14,8.598502250592961,-0.46,3.1,6.0,0.1,5,1,<1 LPA,0.01,0.8
85,8.06,6.631306806452711,1.43,0.4,1.5,3.7,0,1,<1 LPA,0.02,0.4
57,5.29,5.00229626203803,0.29,3.3,0.3,3.1,4,0,5-10 LPA,0.45,0.8
41,7.95,8.190885871353395,-0.24,3.8,3.5,0.1,1,0,<1 LPA,-0.0,1.0
93,6.36,6.507067613058004,-0.15,0.7,1.1,0.6,3,1,1-5 LPA,0.22,0.55
74,7.91,10.0,-2.09,6.1,0.3,0.2,1,1,5-10 LPA,0.8,1.0
55,4.64,4.919840019654326,-0.28,0.1,3.8,0.7,4,1,1-5 LPA,-0.2,1.0
80,7.95,7.146756322526392,0.8,0.3,2.1,1.8,5,1,5-10 LPA,-0.23,0.45
75,10.0,9.923628602328742,0.08,1.5,2.0,3.0,3,1,5-10 LPA,-0.99,0.55
72,4.29,4.0,0.29,1.7,1.9,1.0,2,1,<1 LPA,0.23,0.8
43,9.86,9.79552020056259,0.06,2.1,0.3,0.4,5,1,>10 LPA,-0.94,0.85
72,6.44,5.773555154399394,0.67,0.0,0.4,0.9,5,1,1-5 LPA,0.01,0.55
53,9.22,9.95231222044813,-0.73,6.5,1.7,0.4,0,0,1-5 LPA,0.61,1.0
60,8.69,8.250367780323572,0.44,0.1,0.4,2.4,4,1,5-10 LPA,0.1,0.35
87,7.4,7.306587267363803,0.09,0.3,0.9,2.0,0,0,<1 LPA,-0.46,1.0
59,8.43,7.921553726876477,0.51,0.0,2.3,0.8,0,1,>10 LPA,0.57,0.7
95,9.27,10.0,-0.73,1.7,2.3,0.4,1,1,1-5 LPA,-0.46,0.8
47,6.42,6.1630057871056705,0.26,5.4,0.9,0.3,5,0,<1 LPA,0.47,1.0
46,5.96,7.426045634783361,-1.47,2.2,2.4,0.0,4,1,>10 LPA,0.22,1.0
42,8.01,8.661321409694613,-0.65,3.5,2.7,1.7,0,1,1-5 LPA,-0.66,1.0
56,8.85,9.235653381868309,-0.39,0.0,1.6,0.6,2,1,5-10 LPA,0.81,0.7
72,8.57,8.864986517854016,-0.29,1.6,0.4,0.4,3,1,1-5 LPA,-0.6,0.85
87,8.79,9.105037838573,-0.32,1.2,0.5,0.6,4,1,5-10 LPA,0.98,0.55
51,6.61,5.067861936523512,1.54,1.4,0.6,1.7,1,1,<1 LPA,-0.99,1.0
98,8.91,8.686893284679394,0.22,0.1,0.2,0.1,4,1,1-5 LPA,-0.47,0.55
90,4.72,5.396126376947457,-0.68,2.3,0.5,1.9,5,1,1-5 LPA,-0.6,0.95
61,7.27,7.230882253220715,0.04,1.4,0.4,2.3,1,1,<1 LPA,-0.97,0.8
94,4.03,4.0,0.03,2.9,0.9,2.9,3,1,5-10 LPA,0.46,0.55
61,5.95,5.908076439538025,0.04,1.3,3.6,0.5,2,0,1-5 LPA,0.39,1.0
85,6.2,7.563284413004393,-1.36,0.3,0.2,0.2,0,1,1-5 LPA,0.58,0.85
69,6.38,7.377513372427775,-1.0,2.1,1.9,0.5,4,1,<1 LPA,-0.49,0.95
77,8.17,8.120396792507174,0.05,0.4,1.7,0.4,1,1,5-10 LPA,-0.11,0.5
77,6.33,7.091159421646469,-0.76,4.1,0.2,0.2,3,1,5-10 LPA,0.32,0.75
84,6.69,6.396794383705559,0.29,1.9,3.8,0.9,0,1,1-5 LPA,-0.12,0.85
90,5.43,4.066902730538624,1.36,0.3,1.3,0.6,3,0,1-5 LPA,0.39,0.7
93,6.24,5.500427209496356,0.74,6.6,0.7,2.0,2,1,1-5 LPA,0.27,0.7
47,5.36,6.610311014806559,-1.25,1.5,2.1,0.0,0,1,5-10 LPA,-0.77,1.0
66,4.44,4.220805534536557,0.22,0.2,0.4,1.0,0,1,<1 LPA,0.56,0.8
66,7.62,7.425292816499986,0.19,2.0,1.8,1.4,0,0,1-5 LPA,0.44,0.85
73,8.01,7.770129442980095,0.24,0.6,0.1,1.4,1,1,5-10 LPA,0.31,0.5
60,7.72,9.243309271658406,-1.52,3.3,2.7,2.2,0,1,>10 LPA,-0.69,1.0
69,6.78,8.080767132289651,-1.3,3.4,0.9,1.3,3,0,1-5 LPA,-0.46,1.0
72,6.28,8.055024186758507,-1.78,7.7,1.5,2.6,1,1,5-10 LPA,-0.21,1.0
67,9.18,9.05276383167996,0.13,1.4,0.4,0.4,0,0,1-5 LPA,-0.44,1.0
86,7.11,7.346499590997676,-0.24,1.2,1.7,0.7,3,1,>10 LPA,-0.54,0.85
72,6.88,5.666685960463367,1.21,2.8,2.2,0.0,3,1,1-5 LPA,0.61,0.65
44,4.15,5.33154754089462,-1.18,0.3,1.0,0.0,4,0,1-5 LPA,0.28,1.0
99,6.05,5.115776358985652,0.93,1.6,1.4,0.3,3,0,>10 LPA,0.13,0.6
87,6.28,6.453420451010103,-0.17,1.6,0.9,0.1,5,1,<1 LPA,-0.55,0.85
58,6.39,5.512157977893724,0.88,0.2,3.4,0.3,2,1,<1 LPA,0.84,0.75
43,7.48,7.008906538609043,0.47,1.1,1.0,0.2,0,1,<1 LPA,-0.62,1.0
74,7.2,6.53019005516024,0.67,3.8,2.8,0.0,0,1,5-10 LPA,0.59,0.8
88,7.65,7.163699791459346,0.49,3.9,2.4,2.4,0,1,<1 LPA,0.93,0.5
56,8.59,8.158701837480818,0.43,0.2,0.8,0.0,3,0,>10 LPA,0.45,0.6
83,8.88,8.441384964059939,0.44,0.2,0.4,1.3,3,1,1-5 LPA,0.99,0.35
67,8.31,8.976667129424246,-0.67,0.6,0.8,0.2,0,1,<1 LPA,0.3,0.7
69,9.73,8.846109765549985,0.88,4.2,2.6,2.4,5,1,1-5 LPA,-0.57,0.75
68,4.11,4.286433141611094,-0.18,0.3,0.4,2.2,1,1,<1 LPA,-0.59,0.9
85,5.17,6.144367321844447,-0.97,2.5,1.1,1.1,1,0,5-10 LPA,-0.35,1.0
92,4.05,4.0,0.05,0.2,2.5,1.1,2,0,5-10 LPA,-0.99,0.85
45,7.88,7.305664887401918,0.57,2.0,0.7,0.0,4,1,1-5 LPA,0.36,0.65
74,9.39,9.2055802998558,0.18,0.9,1.5,4.2,2,1,<1 LPA,-0.46,0.6
99,5.46,6.403780166688568,-0.94,3.1,0.4,2.1,0,1,5-10 LPA,0.63,0.8
80,9.56,9.715286104762686,-0.16,0.5,0.2,2.3,0,1,5-10 LPA,-0.28,0.6
76,4.36,4.0,0.36,2.0,2.4,1.1,0,1,5-10 LPA,-0.04,0.9
63,9.61,9.997101320950431,-0.39,0.5,0.2,0.4,4,1,5-10 LPA,0.93,0.55
68,6.11,5.2281662801308615,0.88,2.5,0.5,2.2,3,1,1-5 LPA,-0.52,0.75
88,4.61,5.155087608354359,-0.55,4.1,2.9,0.3,4,0,>10 LPA,0.44,0.9
85,6.92,7.246885846161414,-0.33,0.3,0.6,0.8,2,0,1-5 LPA,0.51,0.75
92,5.54,5.293753223088893,0.25,4.0,5.4,0.1,3,1,<1 LPA,-0.56,0.9
70,5.71,5.039131361242215,0.67,1.8,5.8,2.6,3,1,5-10 LPA,0.0,0.7
74,5.84,5.130655262173234,0.71,0.3,0.5,0.2,2,1,>10 LPA,-0.3,0.8
99,8.82,9.247853869076728,-0.43,1.1,0.1,0.3,3,1,5-10 LPA,0.54,0.55
72,7.23,8.21318440199125,-0.98,0.4,1.8,0.8,1,1,1-5 LPA,0.24,0.7
91,5.87,5.360153802376964,0.51,2.4,0.9,1.4,2,0,1-5 LPA,-0.05,0.95
60,7.66,8.026709362841187,-0.37,2.8,0.2,1.0,2,1,1-5 LPA,0.56,0.7
71,8.3,6.6303783851183455,1.67,0.2,1.8,0.3,1,0,>10 LPA,-0.53,0.75
62,5.64,5.17230581547424,0.47,1.4,0.0,0.0,4,0,<1 LPA,0.51,1.0
72,6.48,6.455152853703279,0.02,3.4,3.1,1.4,4,1,5-10 LPA,0.73,0.7
42,4.73,4.002253266414534,0.73,5.5,0.2,4.2,4,0,1-5 LPA,0.76,1.0
57,5.09,4.340794900168323,0.75,1.4,0.2,1.7,3,1,5-10 LPA,0.57,0.85
64,8.09,7.555776354824891,0.53,6.0,0.3,0.6,1,0,>10 LPA,-0.18,0.85
81,5.09,5.323754182661099,-0.23,1.5,4.8,2.3,2,0,1-5 LPA,0.96,0.9
70,7.15,7.000136785274901,0.15,1.0,1.8,0.5,2,1,1-5 LPA,-0.24,0.7
93,8.25,6.459415013340022,1.79,3.8,2.4,0.7,2,1,5-10 LPA,0.28,0.5
97,4.64,4.0,0.64,1.4,0.8,0.6,3,0,1-5 LPA,-0.68,1.0
42,7.4,6.91450785771426,0.49,1.3,0.6,0.6,3,0,5-10 LPA,0.96,0.8
79,5.54,5.906149268842841,-0.37,1.3,0.4,1.5,5,1,5-10 LPA,0.41,0.75
85,9.78,7.581996125819812,2.2,3.8,1.0,0.7,4,1,<1 LPA,0.51,0.45
63,6.9,6.500215859078696,0.4,3.6,1.2,0.4,5,1,5-10 LPA,-0.87,0.85
89,8.84,8.419001714786063,0.42,1.0,1.5,0.3,5,1,<1 LPA,0.53,0.35
71,7.3,8.410670222566758,-1.11,0.8,0.4,0.0,3,0,>10 LPA,0.55,0.85
86,4.26,4.0,0.26,1.4,4.5,0.9,4,1,1-5 LPA,0.34,0.7
61,7.8,8.106391187792742,-0.31,1.7,0.3,0.3,4,1,5-10 LPA,-0.42,0.85
62,9.71,9.823005712069971,-0.11,0.5,5.1,0.2,2,1,1-5 LPA,-0.02,0.75
41,7.61,5.9055468161542395,1.7,3.2,0.0,1.1,3,0,1-5 LPA,-0.78,1.0
66,8.92,9.53456577330539,-0.61,1.3,1.0,1.1,4,1,1-5 LPA,-0.06,0.75
81,9.31,9.482317204365032,-0.17,0.8,0.6,1.4,5,0,5-10 LPA,-0.51,0.7
41,5.37,5.776614911739672,-0.41,0.2,0.9,0.7,1,0,1-5 LPA,-0.3,1.0
65,5.27,8.41099016514906,-3.14,0.5,1.3,2.2,1,0,>10 LPA,-0.67,1.0
56,7.67,6.0027096484011295,1.67,6.0,0.9,2.8,3,0,1-5 LPA,-0.54,1.0
79,6.47,7.849757319808886,-1.38,0.7,0.8,1.6,2,1,5-10 LPA,-0.85,0.95
72,9.04,8.810041984479716,0.23,0.4,2.0,1.0,2,1,5-10 LPA,0.84,0.5
48,9.4,9.629863123522409,-0.23,1.2,1.7,0.4,4,0,<1 LPA,0.06,1.0
82,6.12,6.083590203759006,0.04,0.7,2.7,4.1,3,1,1-5 LPA,-0.21,0.45
93,5.42,5.080610933281565,0.34,0.1,0.4,0.3,1,1,1-5 LPA,0.07,0.6
87,8.68,8.224133657408993,0.46,0.8,1.4,0.2,5,1,1-5 LPA,0.26,0.35
78,5.65,5.913606988458407,-0.26,1.6,1.3,0.6,4,1,1-5 LPA,0.84,0.75
68,8.94,7.726261042662657,1.21,1.6,0.7,0.1,5,0,5-10 LPA,-0.64,0.8
81,6.54,7.140463334017412,-0.6,0.9,1.0,3.8,4,1,1-5 LPA,-0.41,0.65
94,8.01,7.677044476091797,0.33,1.2,0.6,0.9,0,1,5-10 LPA,0.95,0.6
65,4.57,4.0,0.57,6.7,0.2,0.8,5,1,>10 LPA,-0.26,0.95
74,7.74,7.379989713603349,0.36,0.9,0.4,1.1,3,1,1-5 LPA,-0.95,0.65
89,6.71,7.715719373490058,-1.01,0.6,0.2,0.7,5,1,5-10 LPA,-0.7,0.9
64,7.52,7.091731930387021,0.43,0.6,1.7,0.0,5,1,<1 LPA,-0.95,0.65
63,5.01,5.296762894567696,-0.29,1.2,1.6,0.9,4,0,>10 LPA,0.98,0.9
52,8.42,7.8352349794276215,0.58,2.9,4.5,1.3,1,1,1-5 LPA,-0.44,0.95
99,9.18,9.786337479938895,-0.61,0.5,2.0,0.5,0,0,5-10 LPA,0.85,0.65
97,5.3,5.848406191032163,-0.55,2.5,0.1,1.4,5,1,>10 LPA,0.99,0.75
46,4.57,6.048887066637129,-1.48,0.0,3.2,0.3,1,0,1-5 LPA,0.2,1.0
96,4.14,4.0,0.14,1.1,3.0,0.3,2,1,5-10 LPA,-0.93,0.9
75,7.85,8.384923843806325,-0.53,3.0,0.9,0.2,0,1,1-5 LPA,-0.84,0.9
84,7.64,7.718454031631155,-0.08,0.8,1.3,0.5,0,1,<1 LPA,-0.04,0.7
59,7.28,8.316697425490412,-1.04,1.7,5.6,1.9,4,1,5-10 LPA,-0.19,1.0
40,5.39,4.814934089913016,0.58,0.5,1.1,1.8,5,1,<1 LPA,0.21,0.75
47,6.35,6.946004250301825,-0.6,2.7,3.5,0.5,2,1,5-10 LPA,-0.12,1.0
85,7.57,7.414242163106655,0.16,0.1,0.1,0.9,4,1,<1 LPA,0.87,0.35
55,6.98,6.928649458313203,0.05,3.8,0.3,1.3,3,1,>10 LPA,0.07,0.75
53,9.93,10.0,-0.07,0.4,0.9,0.3,1,1,<1 LPA,0.39,0.7
51,4.82,5.021792317141342,-0.2,4.1,1.3,0.2,1,1,1-5 LPA,0.79,1.0
90,8.17,8.077016765502433,0.09,0.9,2.5,3.6,4,1,1-5 LPA,-0.71,0.45
62,6.43,6.601770546536421,-0.17,2.6,6.0,1.0,1,0,1-5 LPA,-0.54,1.0
54,6.57,7.832494446049748,-1.26,0.8,0.7,4.0,5,1,1-5 LPA,-0.79,1.0
67,8.31,9.098359748492175,-0.79,4.7,0.1,0.4,1,1,1-5 LPA,-0.72,1.0
73,8.15,8.845323673997518,-0.7,0.3,2.4,1.2,5,1,1-5 LPA,0.03,0.55
41,9.95,9.585568379180902,0.36,0.4,1.4,0.3,3,1,1-5 LPA,-0.36,0.75
71,4.77,4.058607337417341,0.71,1.4,0.3,0.3,2,0,1-5 LPA,-0.15,1.0
62,4.62,5.384240446590202,-0.76,0.2,1.0,0.7,0,1,1-5 LPA,0.96,0.9
61,8.35,9.050837434023835,-0.7,0.4,2.0,0.4,4,1,1-5 LPA,-0.69,0.75
90,7.47,8.648136540600785,-1.18,5.8,2.2,0.2,4,1,>10 LPA,0.08,0.9
64,5.64,5.156815499224616,0.48,7.5,1.0,0.3,5,0,1-5 LPA,-0.8,1.0
97,4.48,4.296361075711722,0.18,0.9,0.5,0.0,3,1,<1 LPA,-0.36,0.75
61,4.51,4.0,0.51,5.1,5.5,1.2,3,1,1-5 LPA,0.06,0.9
97,9.37,9.056023115151302,0.31,1.6,1.6,0.7,0,0,>10 LPA,0.89,0.65
97,5.15,5.947256408463558,-0.8,0.6,0.8,0.1,2,0,<1 LPA,-0.22,1.0
61,5.94,5.566803696617442,0.37,2.4,0.5,0.2,4,1,5-10 LPA,-0.87,0.95
88,5.36,5.872383836160659,-0.51,2.2,2.0,0.1,5,0,1-5 LPA,-0.22,1.0
91,6.13,5.977597515201751,0.15,8.0,0.4,0.9,3,1,<1 LPA,-0.71,0.85
81,4.42,4.679245622577248,-0.26,0.6,0.3,0.1,4,0,5-10 LPA,-0.54,0.9
45,7.11,6.191846888147467,0.92,2.2,1.1,1.4,5,1,1-5 LPA,0.24,0.75
54,4.41,4.478167559707121,-0.07,0.1,0.5,0.0,1,1,1-5 LPA,-0.87,1.0
93,8.8,6.407091223279422,2.39,0.2,1.5,0.3,4,1,5-10 LPA,-0.07,0.45
82,5.4,5.250483073470413,0.15,0.0,0.2,2.2,2,1,5-10 LPA,0.22,0.5
99,7.24,5.935621405027888,1.3,8.0,1.6,1.3,5,1,>10 LPA,-0.16,0.75
76,9.28,10.0,-0.72,3.2,0.5,0.1,2,1,5-10 LPA,-0.96,0.8
72,7.91,8.53192588221161,-0.62,3.1,0.0,1.7,4,0,5-10 LPA,0.97,0.7
47,7.2,7.573336785572865,-0.37,1.4,0.2,0.7,1,1,5-10 LPA,-0.27,1.0
92,5.95,7.166804981727505,-1.22,0.7,4.1,1.9,2,0,<1 LPA,0.56,1.0
99,6.0,5.24086678334013,0.76,0.3,3.0,0.9,3,1,5-10 LPA,-0.35,0.65
83,8.02,9.417890558332447,-1.4,0.7,0.4,1.1,5,0,5-10 LPA,-0.05,0.75
83,9.96,10.0,-0.04,0.9,2.3,5.0,4,1,<1 LPA,-0.22,0.45
44,7.97,7.780755770224843,0.19,2.8,1.4,0.3,1,1,1-5 LPA,-0.31,0.9
78,7.35,8.258496117746354,-0.91,1.6,5.3,1.0,3,0,<1 LPA,-0.96,1.0
43,8.38,7.494965190070693,0.89,0.2,0.7,0.6,4,0,5-10 LPA,-0.28,0.7
45,6.79,6.130388670777862,0.66,0.0,1.7,0.0,1,1,1-5 LPA,0.78,0.7
84,4.36,4.0,0.36,0.2,0.1,0.0,3,1,>10 LPA,0.38,0.55
71,7.37,6.946817833548788,0.42,1.1,0.8,0.1,2,1,<1 LPA,-0.71,0.9
91,9.75,8.904753885791798,0.85,5.4,5.0,1.0,4,1,5-10 LPA,0.18,0.6
69,5.05,6.02846645367626,-0.98,2.0,1.2,0.8,4,0,1-5 LPA,0.78,1.0
